sample	Accession	collection_date	depth_m	Stratification	season	Layer	seq_shape	year	av_depth	secchi_m	pH	Alk_mekw_per_L	Cond_mS_per_m	Col_mgPt_per_L	turbidity_FNU_EV26	TotP_ug_per_L	NH4_ug_per_L	NO2andNO3_ug_per_L	PN_ug_per_L	TotN_ug_per_L	Si_ug_per_L	Temp_C	Chla_ug_per_L	PP_ug_per_L	SPOM_mg_per_L	O2pcnt	SPM_mg_per_L	MRP_per_PO4P_ug_per_L	NO2_ug_per_L	NO3_ug_per_L	Abs_per_ofiltrerat_per__420_per_nm_per_5cm	Abs_per_filtrerad_per__420_per_nm_per_5cm	O2_mg_L	LD12	acI	C111	Comamonadaceae	limnohab	flavo	luteo	Alcaligenaceae	polynuc	Chitinophagaceae	Ralstonia	Sphingomonas	synechococcus	nostocaceae	microcystis	haptophyceae	cryptophyta	streptphyt	stramenopiles	phytos
run4.195	ERS1884157	31/7/13	0-10	summer strat.	epi	epi	4	2013	5	3.8	8.01	1.837156972	26.6	25	0.87	22.65	11.796	1.856	83.52413793	836.976	835.288	18.91818182	6.450963	10.36862069	1.2	99.29090909	1.8	2.13	NA	NA	0.072	0.062	9.194545455	0.1333333	39	28	3.3333333	0.6666667	0.9333333	2.5333333	2.6666667	1.5333333	0.4	0	0.2	0	0	0	0	0.4	0	9.1333333	9.6666667
run4.84	ERS1884237	4/7/12	0-12	summer strat.	epi	epi	4	2012	6	NA	8.06	1.790933333	26.2	15	1.33	16.43	15.339	5.003	62.6117931	672.333	842.844	16.77692308	4.758555	7.386206897	1.5	92.53846154	2.4	3.67	0.692	4.311	NA	NA	9.078461538	0.0666667	28.4666667	36.9333333	1.7333333	0.2666667	1.2	2.8	2.1333333	1.4	0.4	0	0.0666667	0.0666667	0	0	0	0.2	0	16.7333333	17
run4.205	ERS1884166	5/8/13	0-6	summer strat.	epi	epi	4	2013	3	3.7	8.23	1.815458268	26.8	30	1.5	23.79	6.546	0.271	105.5862069	707	831.712	20.47142857	6.952344	12.10655172	1.7	108.5	2.2	1.19	NA	NA	0.08	0.061	9.872857143	0.7333333	56.6	10.8	9.8666667	1.8666667	1.6	0.3333333	0.4	1.1333333	1.7333333	0	0	0.0666667	0	0	0.0666667	0.8	0.0666667	1.4666667	2.4666667
run4.28	ERS1884175	5/8/14	0-4	summer strat.	epi	epi	4	2014	2	3.7	8.38	1.789337705	26.3	17.5	1.08	16.95	21.142	4.9	79.01866667	675.12	1198	22.98	7.89633	11.51	1.7	101.54	2.3	4.63	NA	NA	0.068	0.048	8.784	5.2	44.0666667	6.9333333	3	0.7333333	0.6666667	0.4	0.1333333	0.0666667	2.9333333	0	0	6.0666667	0.9333333	2.3333333	0.0666667	2.6666667	0	2.3333333	15.0666667
run4.56	ERS1884206	6/9/11	0-10	summer strat.	epi	epi	4	2011	5	2.6	8.04	1.79	27.9	17.5	1.55	41	113	3.4	54	669	768	18.15454545	3.62	3	0.9	84.88181818	1.9	26	0.4	3	NA	NA	7.989090909	0.0666667	44.2666667	25.2	1.8	0.2	0.6666667	8.5333333	2.2	0.6666667	0.2	0	0	0	0	0	0	0	0	12.6	12.6
S14a	SRA	7/7/08	0-10	summer strat.	epi	epi	1	2008	5	3.8	8.16	1.6808	26.9	15	1.05	26	11	2	114.483	959	872	19	11.3365	12.4828	1.5	101	2	3	0.1	1.9	0.044	0.036	NA	1.6666667	46.5333333	10.5333333	7.6666667	1.6666667	1.6666667	0.0666667	0.4	1	4.0666667	0	0.0666667	0	0	0	0.0666667	0.2	0	3.4666667	3.7333333
run4.180	ERS1884141	8/7/13	0-8	summer strat.	epi	epi	4	2013	4	3.57	8.05	1.954422311	26.8	22.5	0.52	18.22	7.597	-0.909	47.72337931	743.539	446.848	18.56363636	3.69177675	5.780689655	1	87.11818182	1.2	3.03	NA	NA	0.07	0.061	8.228181818	0.8666667	46.1333333	21	7.8666667	1.2	1.8666667	0.2	0.2	1.2	1.3333333	0	0.1333333	0	0	0	0	1.5333333	0.0666667	0.4	2.0666667
run4.110	ERS1884065	9/8/11	0-8	summer strat.	epi	epi	4	2011	4	3	8.17	1.8	27	15	1.94	26	7	3.1	95	641	1748	20.48888889	7.67	7	1.9	91.65555556	3.3	2.2	0.6	2.5	NA	NA	8.174444444	0.4	44.3333333	28.3333333	4.9333333	1.3333333	1.1333333	0.0666667	0.7333333	1.0666667	1.4	0	0.0666667	0	0	0	0	0.1333333	0	1.8666667	2.0666667
run4.74	ERS1884226	9/8/12	0-10	summer strat.	epi	epi	4	2012	5	3	8.06	1.780551111	27.3	15	1.02	31.71	47.6	15.45	68.68965517	619.083	1324	19.49090909	6.199482	7.296551724	0.5	88.69090909	1.5	5.53	2.034	13.416	NA	NA	8.196363636	0.4666667	29.9333333	15.3333333	9.2666667	1.8666667	2.4	1.5333333	1.7333333	1	3.1333333	0	0.1333333	0.1333333	0	0.3333333	0.0666667	4.0666667	0.0666667	5	9.6666667
run4.25	ERS1884172	9/9/14	0-12	summer strat.	epi	epi	4	2014	6	4	7.98	1.849652459	27.2	15	1.03	40.14	20.852	28.95	40.755	688.51	1189.23	17.12307692	1.8621	5.610344828	1	83.49230769	2	19.36	NA	NA	0.067	0.042	8.099230769	1.2	49.0666667	9.4666667	8.5333333	2.2666667	2.0666667	0.1333333	0.2666667	1.2	1.9333333	0	0	0	0	0	0.3333333	3.5333333	0.0666667	0.9333333	4.8666667
