av_corr,phydist,primary
-0.311315657,0.35811,TS_Cafonsi_1_edge
-0.390158886,0.36905,TS_Cafonsi_1_edge
-0.462653905,0.36905,TS_Cafonsi_1_edge
-0.276728612,0.36905,TS_Cafonsi_1_edge
-0.32267291,0.36905,TS_Cafonsi_1_edge
-0.347463837,0.37077,TS_Cafonsi_1_edge
-0.3439126,0.37077,TS_Cafonsi_1_edge
-0.180944136,0.37168,TS_Cafonsi_1_edge
0.405702683,0.40129,TS_Cafonsi_1_edge
0.353029863,0.43511,TS_Cafonsi_1_edge
0.399178324,0.50587,TS_Cafonsi_1_edge
0.360499567,0.50587,TS_Cafonsi_1_edge
0.328744027,0.52152,TS_Cafonsi_1_edge
0.437098808,0.52152,TS_Cafonsi_1_edge
-0.316552987,0.6008,TS_Cafonsi_1_edge
0.431296253,0.61086,TS_Cafonsi_1_edge
0.404107609,0.61086,TS_Cafonsi_1_edge
0.456798204,0.61316,TS_Cafonsi_1_edge
0.436220451,0.61316,TS_Cafonsi_1_edge
0.516127349,0.61316,TS_Cafonsi_1_edge
0.469429879,0.61488,TS_Cafonsi_1_edge
0.509535944,0.61541,TS_Cafonsi_1_edge
0.258713853,0.63078,TS_Cafonsi_1_edge
0.387984594,0.63572,TS_Cafonsi_1_edge
0.41038063,0.63572,TS_Cafonsi_1_edge
0.350354703,0.63572,TS_Cafonsi_1_edge
